ID                 CATEGORY              CPU_CORES  MEMORY
m6i.large          accelerated_computing 2          8
m6i.metal          general_purpose       128        512
m6i.xlarge         accelerated_computing 4          16
m6id.12xlarge      accelerated_computing 48         192
m6id.16xlarge      accelerated_computing 64         256
m6id.24xlarge      accelerated_computing 96         384
m6id.2xlarge       accelerated_computing 8          32
m6id.32xlarge      accelerated_computing 128        512
m6id.4xlarge       accelerated_computing 16         64
m6id.8xlarge       accelerated_computing 32         128
m6id.large         accelerated_computing 2          8
m6id.metal         general_purpose       128        512
m6id.xlarge        accelerated_computing 4          16
m6idn.12xlarge     accelerated_computing 48         192
m6idn.16xlarge     accelerated_computing 64         256
m6idn.24xlarge     accelerated_computing 96         384
m6idn.2xlarge      accelerated_computing 8          32
m6idn.32xlarge     accelerated_computing 128        512
m6idn.4xlarge      accelerated_computing 16         64
m6idn.8xlarge      accelerated_computing 32         128
m6idn.large        accelerated_computing 2          8
m6idn.metal        general_purpose       128        512
m6idn.xlarge       accelerated_computing 4          16
m6in.12xlarge      accelerated_computing 48         192
m6in.16xlarge      accelerated_computing 64         256
m6in.24xlarge      accelerated_computing 96         384
m6in.2xlarge       accelerated_computing 8          32
m6in.32xlarge      accelerated_computing 128        512
m6in.4xlarge       accelerated_computing 16         64
m6in.8xlarge       accelerated_computing 32         128
m6in.large         accelerated_computing 2          8
m6in.metal         general_purpose       128        512
m6in.xlarge        accelerated_computing 4          16
m7a.12xlarge       accelerated_computing 48         192
m7a.16xlarge       accelerated_computing 64         256
m7a.24xlarge       accelerated_computing 96         384
m7a.2xlarge        accelerated_computing 8          32
m7a.32xlarge       accelerated_computing 128        512
m7a.48xlarge       accelerated_computing 192        768
m7a.4xlarge        accelerated_computing 16         64
m7a.8xlarge        accelerated_computing 32         128
m7a.large          accelerated_computing 2          8
m7a.medium         general_purpose       1          4
m7a.metal-48xl     general_purpose       192        768
m7a.xlarge         accelerated_computing 4          16
m7g.12xlarge       accelerated_computing 48         192
m7g.16xlarge       accelerated_computing 64         256
m7g.2xlarge        accelerated_computing 8          32
m7g.4xlarge        accelerated_computing 16         64
m7g.8xlarge        accelerated_computing 32         128
m7g.large          accelerated_computing 2          8
m7g.medium         accelerated_computing 1          4
m7g.metal          accelerated_computing 64         256
m7g.xlarge         accelerated_computing 4          16
m7gd.12xlarge      accelerated_computing 48         192
m7gd.16xlarge      accelerated_computing 64         256
m7gd.2xlarge       accelerated_computing 8          32
m7gd.4xlarge       accelerated_computing 16         64
m7gd.8xlarge       accelerated_computing 32         128
m7gd.large         accelerated_computing 2          8
m7gd.medium        accelerated_computing 1          4
m7gd.metal         accelerated_computing 64         256
m7gd.xlarge        accelerated_computing 4          16
m7i-flex.12xlarge  accelerated_computing 48         192
m7i-flex.16xlarge  accelerated_computing 64         256
m7i-flex.2xlarge   accelerated_computing 8          32
m7i-flex.4xlarge   accelerated_computing 16         64
m7i-flex.8xlarge   accelerated_computing 32         128
m7i-flex.large     accelerated_computing 2          8
m7i-flex.xlarge    accelerated_computing 4          16
m7i.12xlarge       accelerated_computing 48         192
m7i.16xlarge       accelerated_computing 64         256
m7i.24xlarge       accelerated_computing 96         384
m7i.2xlarge        accelerated_computing 8          32
m7i.48xlarge       accelerated_computing 192        768
m7i.4xlarge        accelerated_computing 16         64
m7i.8xlarge        accelerated_computing 32         128
m7i.large          accelerated_computing 2          8
m7i.metal-24xl     general_purpose       96         384
m7i.metal-48xl     general_purpose       192        768
m7i.xlarge         accelerated_computing 4          16
m8g.12xlarge       accelerated_computing 48         192
m8g.16xlarge       accelerated_computing 64         256
m8g.24xlarge       accelerated_computing 96         384
m8g.2xlarge        accelerated_computing 8          32
m8g.48xlarge       accelerated_computing 192        768
m8g.4xlarge        accelerated_computing 16         64
m8g.8xlarge        accelerated_computing 32         128
m8g.large          accelerated_computing 2          8
m8g.medium         accelerated_computing 1          4
m8g.metal-24xl     accelerated_computing 96         384
m8g.metal-48xl     accelerated_computing 192        768
m8g.xlarge         accelerated_computing 4          16
mac1.metal         general_purpose       12         32
mac2-m1ultra.metal general_purpose       20         128
mac2-m2.metal      general_purpose       8          24
mac2-m2pro.metal   accelerated_computing 12         32
mac2.metal         general_purpose       8          16
p2.16xlarge        accelerated_computing 64         732
p2.8xlarge         accelerated_computing 32         488
p2.xlarge          accelerated_computing 4          61
p3.16xlarge        accelerated_computing 64         488
p3.2xlarge         accelerated_computing 8          61
p3.8xlarge         accelerated_computing 32         244
p3dn.24xlarge      accelerated_computing 96         768
p4d.24xlarge       accelerated_computing 96         1152
p5.48xlarge        accelerated_computing 192        2048
p5e.48xlarge       accelerated_computing 192        2048
p5en.48xlarge      accelerated_computing 192        2048
r3.2xlarge         accelerated_computing 8          61
r3.4xlarge         accelerated_computing 16         122
r3.8xlarge         accelerated_computing 32         244
r3.large           accelerated_computing 2          15
r3.xlarge          accelerated_computing 4          30.5
r4.16xlarge        accelerated_computing 64         488
r4.2xlarge         accelerated_computing 8          61
r4.4xlarge         accelerated_computing 16         122
r4.8xlarge         accelerated_computing 32         244
r4.large           accelerated_computing 2          15.25
r4.xlarge          accelerated_computing 4          30.5
r5.12xlarge        accelerated_computing 48         384
r5.16xlarge        accelerated_computing 64         512
r5.24xlarge        accelerated_computing 96         768
r5.2xlarge         accelerated_computing 8          64
r5.4xlarge         accelerated_computing 16         128
r5.8xlarge         accelerated_computing 32         256
r5.large           accelerated_computing 2          16
r5.metal           memory_optimized      96         768
r5.xlarge          accelerated_computing 4          32
r5a.12xlarge       accelerated_computing 48         384
r5a.16xlarge       accelerated_computing 64         512
r5a.24xlarge       accelerated_computing 96         768
r5a.2xlarge        accelerated_computing 8          64
r5a.4xlarge        accelerated_computing 16         128
r5a.8xlarge        accelerated_computing 32         256
r5a.large          accelerated_computing 2          16
r5a.xlarge         accelerated_computing 4          32
r5ad.12xlarge      accelerated_computing 48         384
r5ad.16xlarge      accelerated_computing 64         512
r5ad.24xlarge      accelerated_computing 96         768
r5ad.2xlarge       accelerated_computing 8          64
r5ad.4xlarge       accelerated_computing 16         128
r5ad.8xlarge       accelerated_computing 32         256
r5ad.large         accelerated_computing 2          16
r5ad.xlarge        accelerated_computing 4          32
r5b.12xlarge       accelerated_computing 48         384
r5b.16xlarge       accelerated_computing 64         512
r5b.24xlarge       accelerated_computing 96         768
r5b.2xlarge        accelerated_computing 8          64
r5b.4xlarge        accelerated_computing 16         128
r5b.8xlarge        accelerated_computing 32         256
r5b.large          accelerated_computing 2          16
r5b.metal          memory_optimized      96         768
r5b.xlarge         accelerated_computing 4          32
r5d.12xlarge       accelerated_computing 48         384
r5d.16xlarge       accelerated_computing 64         512
r5d.24xlarge       accelerated_computing 96         768
r5d.2xlarge        accelerated_computing 8          64
r5d.4xlarge        accelerated_computing 16         128
r5d.8xlarge        accelerated_computing 32         256
r5d.large          accelerated_computing 2          16
