ID                 CATEGORY               CPU_CORES  MEMORY
r7i.8xlarge        memory_optimized       32         256.0 GiB
r7i.metal-24xl     memory_optimized       96         768.0 GiB
r7i.xlarge         memory_optimized       4          32.0 GiB
r7iz.12xlarge      memory_optimized       48         384.0 GiB
r7iz.16xlarge      memory_optimized       64         512.0 GiB
r7iz.2xlarge       memory_optimized       8          64.0 GiB
r7iz.32xlarge      memory_optimized       128        1.0 TiB
r7iz.4xlarge       memory_optimized       16         128.0 GiB
r7iz.8xlarge       memory_optimized       32         256.0 GiB
r7iz.metal-16xl    memory_optimized       64         512.0 GiB
r7iz.metal-32xl    memory_optimized       128        1.0 TiB
r7iz.xlarge        memory_optimized       4          32.0 GiB
u-12tb1.112xlarge  memory_optimized       448        12.0 TiB
u-12tb1.metal      memory_optimized       448        12.0 TiB
u-18tb1.metal      memory_optimized       448        18.0 TiB
u-24tb1.112xlarge  memory_optimized       448        24.0 TiB
u-24tb1.metal      memory_optimized       448        24.0 TiB
u-3tb1.56xlarge    memory_optimized       224        3.0 TiB
u-6tb1.112xlarge   memory_optimized       448        6.0 TiB
u-6tb1.56xlarge    memory_optimized       224        6.0 TiB
u-6tb1.metal       memory_optimized       448        6.0 TiB
u-9tb1.112xlarge   memory_optimized       448        9.0 TiB
u-9tb1.metal       memory_optimized       448        9.0 TiB
x1.16xlarge        memory_optimized       64         976.0 GiB
x1.32xlarge        memory_optimized       128        1.9 TiB
x1e.16xlarge       memory_optimized       64         1.9 TiB
x1e.2xlarge        memory_optimized       8          244.0 GiB
x1e.32xlarge       memory_optimized       128        3.8 TiB
x1e.4xlarge        memory_optimized       16         488.0 GiB
x1e.8xlarge        memory_optimized       32         976.0 GiB
x1e.xlarge         memory_optimized       4          122.0 GiB
x2gd.12xlarge      memory_optimized       48         768.0 GiB
x2gd.16xlarge      memory_optimized       64         1.0 TiB
x2gd.2xlarge       memory_optimized       8          128.0 GiB
x2gd.4xlarge       memory_optimized       16         256.0 GiB
x2gd.8xlarge       memory_optimized       32         512.0 GiB
x2gd.metal         memory_optimized       64         1.0 TiB
x2gd.xlarge        memory_optimized       4          64.0 GiB
x2idn.16xlarge     memory_optimized       64         1.0 TiB
x2idn.24xlarge     memory_optimized       96         1.5 TiB
x2idn.32xlarge     memory_optimized       128        2.0 TiB
x2idn.metal        memory_optimized       128        2.0 TiB
x2iedn.16xlarge    memory_optimized       64         2.0 TiB
x2iedn.24xlarge    memory_optimized       96         3.0 TiB
x2iedn.2xlarge     memory_optimized       8          256.0 GiB
x2iedn.32xlarge    memory_optimized       128        4.0 TiB
x2iedn.4xlarge     memory_optimized       16         512.0 GiB
x2iedn.8xlarge     memory_optimized       32         1.0 TiB
x2iedn.metal       memory_optimized       128        4.0 TiB
x2iedn.xlarge      memory_optimized       4          128.0 GiB
x2iezn.12xlarge    memory_optimized       48         1.5 TiB
x2iezn.2xlarge     memory_optimized       8          256.0 GiB
x2iezn.4xlarge     memory_optimized       16         512.0 GiB
x2iezn.6xlarge     memory_optimized       24         768.0 GiB
x2iezn.8xlarge     memory_optimized       32         1.0 TiB
x2iezn.metal       memory_optimized       48         1.5 TiB
z1d.12xlarge       memory_optimized       48         384.0 GiB
z1d.2xlarge        memory_optimized       8          64.0 GiB
z1d.3xlarge        memory_optimized       12         96.0 GiB
z1d.6xlarge        memory_optimized       24         192.0 GiB
z1d.metal          memory_optimized       48         384.0 GiB
z1d.xlarge         memory_optimized       4          32.0 GiB
c5n.18xlarge       network_optimized      72         192.0 GiB
c5n.2xlarge        network_optimized      8          21.0 GiB
c5n.4xlarge        network_optimized      16         42.0 GiB
c5n.9xlarge        network_optimized      36         96.0 GiB
c5n.xlarge         network_optimized      4          10.5 GiB
m5dn.12xlarge      network_optimized      48         192.0 GiB
m5dn.16xlarge      network_optimized      64         256.0 GiB
m5dn.24xlarge      network_optimized      96         384.0 GiB
m5dn.2xlarge       network_optimized      8          32.0 GiB
m5dn.4xlarge       network_optimized      16         64.0 GiB
m5dn.8xlarge       network_optimized      32         128.0 GiB
m5dn.xlarge        network_optimized      4          16.0 GiB
m5n.12xlarge       network_optimized      48         192.0 GiB
m5n.16xlarge       network_optimized      64         256.0 GiB
